,baujahr,name,preis,baureihe,karrosserieform,kilometerstand,leistung,gewicht
10186,1978,Porsche 911 Carrera 3,89.000,"""G-Modell""",Coupé,81.068,200,0
10187,1995,Mercedes-Benz 1524 AF,27.900,Mittelschwere Klasse,Nutzfahrzeug (Feuerwehr),28.700,241,0
10188,1972,Mercedes-Benz LAF 1113,18.900,,Nutzfahrzeug (Feuerwehr),24.833,150,0
10189,1964,Aston Martin DB 5,Auf Anfrage,,Coupé,108.309,286,0
10190,1967,Aston Martin DB 6 Volante,Auf Anfrage,,Cabriolet,39.429,286,0
10191,1960,Aston Martin DB 4,Auf Anfrage,,Coupé,96.560,240,0
10192,1982,Aston Martin V8 Volante,Auf Anfrage,,Cabriolet,32.911,305,0
10193,1957,Frazer Nash Continental,Auf Anfrage,,Cabriolet (Roadster),9.656,100,0
10194,1998,Aston Martin Vantage V600,Auf Anfrage,V600,Coupé,59.546,608,0
10195,2007,Aston Martin V12 Vanquish S Ultimate Edition,Auf Anfrage,,Coupé,13.316,528,0
10196,1955,Aston Martin DB 2,Auf Anfrage,Mark I,Coupé,93.831,140,0
10197,1994,Aston Martin V8 Vantage V550,Auf Anfrage,,Coupé,23.335,550,0
10198,1988,Aston Martin V8 Volante,Auf Anfrage,,Cabriolet,35.684,305,0
10199,1957,Mercedes-Benz 300 Sc Cabriolet A,895.000,W 188 II,Cabriolet,13.350,175,0
10200,1965,Mercedes-Benz 230 SL,89.000,W 113,Cabriolet,18.200,150,0
10201,1972,Mercedes-Benz 350 SL,29.950,R 107,Cabriolet (Roadster),206.489,200,1650
10202,1990,Iveco 60-9,12.900,MK,Nutzfahrzeug (Feuerwehr),26.610,87,0
10203,2001,Volkswagen Golf IV 1,Auf Anfrage,Typ 1J,Limousine,5.472,180,0
10204,1980,Rolls-Royce Silver Shadow II,42.184,,Limousine (4-Türen),98.170,200,0
10205,1959,MG MGA 1600,38.083,MK I,Cabriolet (Roadster),0,79,0
10206,1939,Triumph Dolomite 14,87.884,,Coupé (Roadster),0,62,0
10207,1991,Mercedes-Benz 1222 AF,24.900,,Nutzfahrzeug (Feuerwehr),34.500,216,0
10208,1988,Mercedes-Benz 1222 AF,24.900,,Nutzfahrzeug (Feuerwehr),31.300,216,0
10209,2000,Aston Martin DB 7 Vantage,35.095,,Coupé,61.155,426,0
10210,1964,Jaguar E-Type 3,158.191,Serie I,Cabriolet (Roadster),0,269,0
10211,2000,Mercedes-Benz SL 320,16.346,R 129,Cabriolet (Roadster),98.170,224,0
10212,1991,Iveco Magirus 120-23,24.900,MK,Nutzfahrzeug (Feuerwehr),19.000,238,0
10213,1988,Mercedes-Benz T2 711 D,12.900,,Nutzfahrzeug (Feuerwehr),46.500,115,0
10214,1987,Mercedes-Benz 300 SL,89.000,R 107,Cabriolet (Roadster),15.550,180,0
10215,1963,Mercedes-Benz 220 SE b,Auf Anfrage,W 111,Cabriolet,0,120,0
10216,1972,Ferrari 365 GTB,729.000,,Coupé,40.676,352,0
10217,1980,Ferrari 512 BB,295.000,,Coupé,59.250,360,0
10218,2002,BMW Z8,227.500,E52,Cabriolet (Roadster),65.900,400,0
10219,1971,Mercedes-Benz 280 SE 3,399.000,W 111,Cabriolet,1.530,200,0
10220,1938,Mercedes-Benz 170 V Roadster,165.000,W 136,Cabriolet (Roadster),0,38,0
10221,1982,Aston Martin V8 Volante,Auf Anfrage,,Cabriolet,33.796,305,0
10222,1968,Jaguar 420 G,11.659,,Limousine,120.485,265,0
10223,1936,Jaguar SS 1,257.299,,Cabriolet (Tourer),4.600,68,1340
10224,1955,Studebaker Champion Starlight,21.500,,Coupé,0,85,0
10225,1967,Mercedes-Benz 300 SE,Auf Anfrage,W 112,Coupé,0,170,1500
10226,1959,MG MGA Twin Cam,21.500,MK I,Cabriolet (Roadster),0,108,900
10227,1973,Jaguar E-Type V12,Auf Anfrage,Serie III,Coupé,0,276,1530
10228,1964,Mercedes-Benz 230 SL,Auf Anfrage,W 113,Cabriolet,0,150,1400
10229,1965,Marcos 1800 GT,69.000,,Coupé,0,114,0
10230,1979,Mercedes-Benz 1019 AF,25.900,NG 73,Nutzfahrzeug (Feuerwehr),23.105,192,0
10231,1975,Rover 3500,16.950,P6,Limousine,53.184,144,0
10232,1998,Aston Martin Vantage V600,275.369,V600,Coupé,12.593,608,0
10233,1967,Alfa Romeo Giulia GT 1300 Junior,48.000,,Coupé,7.164,89,0
10234,1973,Porsche 911 2,149.950,"""Urmodell""",Coupé,32.870,165,0
10235,1966,Chevrolet Corvette Sting Ray,99.500,C2,Coupé,9.754,390,0
10236,1998,Porsche Boxster,19.950,986,Cabriolet (Roadster),160.500,204,0
10237,1988,Mercedes-Benz 1222 AF,24.900,NG 85,Nutzfahrzeug (Feuerwehr),25.500,218,0
10238,1988,Iveco Magirus 75-16 AW,13.900,MK,Nutzfahrzeug (Feuerwehr),20.113,160,0
10239,1970,Mercedes-Benz 280 SL,138.500,W 113,Cabriolet (Roadster),31.027,170,0
10240,1960,BMW 502 Autenrieth,712.000,Typ 502,Cabriolet,8.800,100,0
10241,1971,Pontiac Grand Ville,32.500,,Cabriolet,16.093,215,0
10242,1950,Mercedes-Benz 170 S Cabriolet A,155.000,W 136 IV,Cabriolet,2.609,52,0
10243,1959,Austin-Healey 100,57.500,,Cabriolet,5.733,117,0
10244,1985,Mercedes-Benz 280 SL,30.950,R 107,Cabriolet (Roadster),203.160,185,0
10245,1965,Ford Thunderbird,39.900,Serie 4,Cabriolet,152.913,300,0
10246,1966,Sunbeam Tiger Mk II,89.000,,Cabriolet,14.200,200,0
10247,1957,Bentley S 1,38.083,,Limousine (4-Türen),0,180,0
10248,1919,Sunbeam 24 HP,234.357,,Cabriolet (Tourer),0,70,0
10249,1952,Jaguar XK 120 FHC,126.494,120,Coupé,0,162,0
10250,1969,Mercedes-Benz 230,49.900,W 114,Limousine (2-Türen),42.123,120,0
10251,1933,Alvis Speed 20,236.500,,Cabriolet,7.917,87,0
10252,1963,FIAT 500 Savio Spider Elegance,Auf Anfrage,,Cabriolet (Roadster),0,35,0
10253,2016,Westfield Eleven Sports,29.236,,Cabriolet (Roadster),2.092,89,0
10254,1971,Ferrari Dino 246 GT,410.118,M Series,Coupé,89.962,195,0
10255,1990,Volkswagen Golf II 1,11.659,Typ 19E,Limousine,74.030,72,0
10256,1938,BMW 328,267.500,Typ 328,Cabriolet (Roadster),2.238,80,0
10257,1962,Alfa Romeo Giulietta Spider Veloce,69.900,,Cabriolet,43.600,90,0
10258,1950,Healey Silverstone,210.335,,Cabriolet (Roadster),81.940,105,940
10259,1961,Aston Martin DB 4 GT,Auf Anfrage,,Coupé,105.695,302,1300
10260,1987,Jaguar XJ 12,17.900,Serie III,Limousine (4-Türen),102.000,287,0
10261,1947,Lancia Aprilia Pininfarina Cabriolet,275.000,Tipo 539,Cabriolet,0,48,0
10262,1986,Citroën 2 CV 6,42.500,,Limousine (4-Türen),0,29,0
10263,1960,Mercedes-Benz 220 SE Cabriolet,92.000,W 128,Cabriolet,45.784,115,0
10264,1963,Jaguar E-Type 3,158.500,Serie I,Cabriolet (Roadster),35.888,269,0
10265,1947,Citroën Traction Avant 11 B,17.950,11 CV,Limousine (5-Türen),44.052,56,1040
10266,1975,Maserati Merak,Auf Anfrage,Tipo AM 122,Coupé,0,190,1400
10267,2001,Porsche Boxster,16.900,986,Cabriolet (Roadster),219.240,220,0
10268,1970,Lancia Fulvia Rallye HF 1,39.900,Serie I,Coupé,42.105,115,0
10269,1954,Volkswagen Käfer 1200 Standard,Auf Anfrage,Typ 11,Limousine (2-Türen),0,30,0
10270,1964,Ford Thunderbird,29.950,Serie 4,Coupé,160.456,300,0
10271,2007,Porsche 911 Carrera,49.900,997.1,Cabriolet,95.764,325,0
10272,1954,Champion 500 G,Auf Anfrage,,Kombi,0,18,0
10273,2007,Volkswagen Golf V 3,40.000,Typ 1K,Limousine (3-Türen),109.980,250,0
10274,1987,Mercedes-Benz 814 F,14.900,LK,Nutzfahrzeug (Feuerwehr),28.790,136,0
10275,1974,Citroën DS 23 Break,59.900,FF,Kombi,48.000,110,0
10276,1985,Volkswagen Käfer 1200 Jubiläumsmodell,26.611,Typ 11,Limousine (2-Türen),26.000,34,0
10277,1952,Mercedes-Benz 300 Cabriolet D,224.900,W 186 II,Cabriolet,10.176,115,0
10278,1960,Borgward B 522 A,47.481,,Nutzfahrzeug,23.300,82,0
10279,1960,Borgward B 522 A,47.481,,Nutzfahrzeug,23.300,82,0
10280,1963,Porsche 356 B 1600,93.356,B,Coupé,2.725,60,0
10281,1961,Mercedes-Benz 300 d,109.000,W 189,Limousine (4-Türen),0,160,0
10282,1992,BMW 318i,17.250,E30,Cabriolet,167.623,113,0
10283,1968,Mercedes-Benz 280 SE,210.000,W 111,Cabriolet,75.921,160,0
10284,1969,Mercedes-Benz 280 SE 3,120.000,W 111,Coupé,5.350,200,0
10285,1965,BMW 3200 CS,94.990,Typ 532,Coupé,78.500,160,0
10286,1962,Rolls-Royce Silver Cloud II,93.684,,Limousine,120.701,185,0
10287,1979,Ferrari Dino 308 GT4,94.500,,Coupé,0,255,0
10288,1964,Chevrolet Corvette Sting Ray,99.500,C2,Coupé,79.843,250,0
10289,2002,BMW Z3 2,12.304,E 36-7,Cabriolet (Roadster),0,170,0
10290,1964,FIAT 2300 S ,53.902,,Coupé,0,136,0
10291,1971,Triumph TR 6,21.500,,Cabriolet (Roadster),0,104,1030
10292,1966,Volkswagen T1 Samba,119.000,Typ 2 T1,Bus,0,44,0
10293,1987,Citroën CX 25 GTI Turbo 2,10.487,Serie II,Limousine (4-Türen),142.748,166,0
10294,1966,Jaguar Mk II 3,49.950,,Limousine (4-Türen),7.027,210,0
10295,1936,Citroën Rosalie 8 CV,27.900,8 CV,Limousine (4-Türen),0,33,0
10296,1973,FIAT 600 D,17.500,,Limousine (2-Türen),0,71,580
10297,1962,Triumph TR 4,29.750,,Cabriolet,0,100,1000
10298,1951,Cadillac 60 Special Fleetwood,36.500,Serie 60,Limousine (4-Türen),0,160,1900
10299,1973,Mercedes-Benz 450 SL,12.850,R 107,Cabriolet (Roadster),0,192,1650
10300,1966,Mercedes-Benz 250 SE,Auf Anfrage,W 111,Coupé,0,150,1490
10301,1976,Mercedes-Benz 450 SL,13.500,R 107,Cabriolet (Roadster),0,182,1650
10302,1975,Mercedes-Benz 450 SL,18.250,R 107,Cabriolet (Roadster),0,217,1650
10303,1976,Mercedes-Benz 450 SL,9.250,R 107,Cabriolet (Roadster),0,217,1650
10304,1972,Mercedes-Benz 350 SL,18.750,R 107,Cabriolet (Roadster),0,200,1650
10305,1973,Mercedes-Benz 450 SL,24.250,R 107,Cabriolet (Roadster),0,192,1650
10306,1979,Mercedes-Benz 280 SLC,21.850,C 107,Coupé,0,185,1650
10307,1972,Mercedes-Benz 350 SL,14.500,R 107,Cabriolet (Roadster),0,200,1650
10308,1970,Mercedes-Benz 280 SL,61.750,W 113,Cabriolet (Roadster),84.378,170,0
10309,1964,FIAT 2300 S ,41.500,,Coupé,0,136,0
10310,1967,Jaguar E-Type 4,178.900,Serie I,Cabriolet (Roadster),104.607,269,0
10311,1972,Citroën SM Mylord Chapron,Auf Anfrage,C 114/1,Cabriolet,0,170,0
10312,1971,Mercedes-Benz 280 SE 3,31.401,W 108,Limousine (4-Türen),198.000,200,1600
10313,1965,Volkswagen T1 Samba,Auf Anfrage,Typ 2 T1,Bus,2.504,44,0
10314,1973,Rover 2000 SC,12.700,P6,Limousine,136.800,89,0
10315,1997,Jaguar XK8 4,19.700,X100,Cabriolet,160.725,284,0
10316,1948,Jaguar Mk IV 3,Auf Anfrage,,Cabriolet,58.300,125,0
10317,1967,Jaguar Mk II 3,49.800,,Limousine (4-Türen),121.842,210,0
10318,1959,Mercedes-Benz 220 S,89.900,W 180,Coupé,0,106,0
10319,1975,Porsche 911 2,58.003,"""G-Modell""",Cabriolet (Targa),21.560,175,1140
10320,1991,Ferrari Mondial T,69.950,,Cabriolet,56.355,300,1500
10321,1988,Porsche 911 Turbo 3,123.037,930,Cabriolet,98.965,300,1140
10322,1973,Jaguar E-Type V12,89.500,Serie III,Cabriolet (Roadster),5.963,268,0
10323,2022,Morgan Super 3,Auf Anfrage,,Cabriolet (Dreirad),0,118,0
10324,1982,Chevrolet Corvette,23.750,C3 Serie II,Coupé (Targa),0,203,1517
10325,1973,Datsun 240 Z,22.500,S30,Coupé,0,151,1100
10326,1928,Aston Martin 1,158.191,,Cabriolet (Roadster),0,60,0
10327,1934,Maserati 4CS,410.007,,Rennwagen,0,155,0
10328,1954,Connaught B-Type,527.303,,Cabriolet (Roadster),0,240,0
10329,1986,Iveco Magirus 60-9,11.900,MK,Nutzfahrzeug (Feuerwehr),34.935,87,0
10330,1958,Studebaker Silver Hawk,19.750,8G,Coupé,0,182,0
10331,1952,MG TD,22.750,,Cabriolet (Roadster),0,54,920
10332,2017,Morgan Roadster V6,64.155,,Cabriolet (Roadster),4.667,284,0
10333,1937,Bentley 4 1,263.651,,Limousine (4-Türen),0,109,1625
10334,1933,Alvis Speed 20,125.967,,Cabriolet (Tourer),0,87,1370
10335,1986,Aston Martin V8 EFi,209.749,,Coupé,83.439,315,0
10336,1970,Aston Martin DB 6 Mk II,351.529,,Coupé,120.298,325,0
10337,1997,BMW Z3 M 3,48.500,E 36-7S,Cabriolet (Roadster),84.000,321,0
10338,2000,Iveco Eurofire FF 150 E 27,19.900,,Nutzfahrzeug (Feuerwehr),65.095,266,0
10339,1954,SIMCA Aronde 9,72.500,,Limousine,59.450,45,0
10340,1958,Jaguar XK 150 FHC,Auf Anfrage,150,Coupé,0,193,0
10341,1987,Ferrari Testarossa,169.909,,Coupé,0,390,0
10342,1957,Jaguar XK 140 DHC,105.461,140,Cabriolet,0,193,0
10343,1935,Mercedes-Benz 200,140.614,W 21,Cabriolet (Roadster),0,40,0
10344,1988,Jaguar XJ 12,52.730,Serie III,Limousine (4-Türen),0,287,0
10345,1958,Rolls-Royce Silver Cloud I,101.945,,Limousine,0,180,0
10346,1971,Porsche 914,15.750,,Cabriolet (Targa),0,80,980
10347,1985,BMW 320i Baur TC,19.950,E30,Cabriolet (Limousine),119.646,129,0
10348,1977,Mercedes-Benz 300 D,35.000,W 123,Limousine (4-Türen),0,80,0
10349,2002,Mercedes-Benz CL 55 AMG,40.000,C 215,Coupé,39.900,360,0
10350,1968,Aston Martin DB 6,Auf Anfrage,,Coupé,89.793,282,0
10351,2004,Morgan Aero 8 GTN,99.602,,Cabriolet (Roadster),27.611,329,1145
10352,1910,Oldsmobile Special 40HP,158.191,,Cabriolet (Roadster),0,40,0
10353,1935,Mercedes-Benz 500 K Cabriolet C,Auf Anfrage,W 29,Cabriolet,0,160,0
10354,1935,Jaguar SS 100,363.253,,Cabriolet (Roadster),0,102,0
10355,1954,Bentley R-Type Continental,996.016,,Coupé,0,163,0
10356,1924,Rolls-Royce 40,123.037,,Limousine (Pullman),0,75,0
10357,1957,Facel Vega FV3,159.500,,Cabriolet,76.334,200,0
10358,1989,Bentley Turbo R lang,39.950,,Limousine (4-Türen),83.349,320,0
10359,1963,Studebaker Avanti,39.950,R-2,Coupé,95.695,289,0
10360,1965,MG MGB,22.950,B Serie I,Cabriolet (Roadster),0,96,1010
10361,1965,BMW 700 LS Luxus,17.500,Typ 107,Limousine (2-Türen),61.500,32,0
10362,1971,BMW 2002,109.000,E10,Limousine (2-Türen),0,100,0
10363,2007,MG XPower SV-R,98.371,,Coupé,3.999,390,0
10364,1934,Bentley 3 1,235.000,,Cabriolet,0,115,0
10365,1999,Ferrari 550 Maranello,132.500,,Coupé,76.900,485,0
10366,1953,Mercedes-Benz 300 S Cabriolet A,540.000,W 188 I,Cabriolet,160.493,150,0
10367,1973,Lincoln Continental Mark IV,18.750,89,Coupé,0,223,0
10368,1987,Porsche 911 Carrera 3,75.500,"""G-Modell""",Cabriolet,162.262,207,0
10369,1930,Rolls-Royce Phantom II,380.830,,Coupé,0,119,0
10370,2005,Aston Martin V12 Vanquish S,81.439,,Coupé,0,528,0
10371,1965,MG MGB,18.950,B Serie I,Cabriolet (Roadster),0,96,1010
10372,1973,MG Midget,13.900,Serie III,Rennwagen,0,130,0
10373,1965,Chevrolet Corvette Sting Ray,Auf Anfrage,C2,Coupé,0,365,0
10374,2006,Lamborghini Gallardo,89.900,,Coupé,76.764,520,0
10375,1967,Mercedes-Benz 250 SL,Auf Anfrage,W 113,Cabriolet,108.000,150,0
10376,1974,Mercedes-Benz 450 SL,38.900,R 107,Cabriolet (Roadster),120.500,182,0
10377,1963,FIAT 1600 S,47.248,,Cabriolet,22.000,90,0
10378,1989,BMW 535i,6.500,E34,Limousine (4-Türen),333.000,211,0
10379,1973,Dodge Challenger 340,49.950,,Coupé,18.255,243,0
10380,1965,Rolls-Royce Silver Cloud III,439.419,,Coupé,56.040,200,1830
10381,1981,Mercedes-Benz 380 SL,33.000,R 107,Cabriolet (Roadster),154.000,218,0
10382,1976,Mercedes-Benz 450 SL,29.000,R 107,Cabriolet (Roadster),75.000,182,0
10383,2010,Porsche 911 Carrera 4S,70.301,997.2,Cabriolet,30.738,385,0
10384,1927,Bentley 3 Liter,263.651,,Cabriolet (Roadster),0,70,0
10385,1947,Jaguar Mk IV 1,54.900,,Limousine,92.100,66,0
10386,2013,Rolls-Royce Phantom VII,340.000,,Limousine (4-Türen),0,460,0
10387,2009,Rolls-Royce Phantom ,350.000,,Coupé,0,460,0
10388,1992,Mercedes-Benz 500 SE,21.900,W 140,Limousine (4-Türen),102.753,326,0
10389,1996,Mercedes-Benz CL 600,29.631,C 140,Coupé,68.882,394,0
10390,1998,Mercedes-Benz CL 600,26.061,C 140,Coupé,106.778,394,0
10391,1993,Mercedes-Benz CL 600,22.491,C 140,Coupé,75.527,394,0
10392,2003,Mercedes-Benz S 600 L,34.391,V 220,Limousine (4-Türen),12.394,500,0
10393,2005,Mercedes-Benz S 600 L,23.681,V 220,Limousine (4-Türen),64.779,500,0
10394,2003,Mercedes-Benz S 600 L,28.441,V 220,Limousine (4-Türen),36.908,500,0
10395,2005,Mercedes-Benz S 600 L,27.251,V 220,Limousine (4-Türen),45.296,500,0
10396,2003,Mercedes-Benz S 600 L,30.821,V 220,Limousine (4-Türen),23.803,500,0
10397,1970,Mercedes-Benz 280 SE 3,89.900,W 111,Coupé,92.970,200,0
10398,1991,Mercedes-Benz 300 SE,10.900,W 140,Limousine (4-Türen),214.850,231,0
10399,1991,Mercedes-Benz 300 SE,21.900,W 140,Limousine (4-Türen),60.920,231,0
10400,1994,Mercedes-Benz S 320,23.800,W 140,Limousine (4-Türen),37.065,231,0
10401,1992,Mercedes-Benz S 500,17.850,W 140,Limousine (4-Türen),66.116,320,0
10402,1998,Mercedes-Benz S 320,25.347,W 140,Limousine (4-Türen),39.039,231,0
10403,1988,Mercedes-Benz T2 711 D,12.900,,Nutzfahrzeug (Feuerwehr),54.065,115,0
10404,1996,Ferrari 456 GT,69.900,F 116,Coupé,57.233,442,0
10405,1989,Porsche 935 dp III,199.000,935,Coupé (Rennwagen),30.274,749,0
10406,1987,Mercedes-Benz T2 609 D,29.900,,Nutzfahrzeug (Kastenwagen),14.900,90,0
10407,2016,Mercedes-Benz Atego 1530,297.381,,Nutzfahrzeug (Feuerwehr),51.500,299,0
10408,1975,Mercedes-Benz 280 S,14.900,W 116,Limousine (4-Türen),54.955,160,0
10409,1978,Mercedes-Benz LP 813,5.900,Kubische Kabine leicht,Nutzfahrzeug (Feuerwehr),27.864,130,0
10410,1991,Porsche 911 Carrera 2,69.000,964,Cabriolet,199.000,250,0
10411,2002,Mercedes-Benz S 500,12.900,W 220,Limousine (4-Türen),123.740,306,0
10412,1982,Mercedes-Benz 380 SEL,15.900,W 126,Limousine (4-Türen),166.064,204,0
10413,1981,Mercedes-Benz 280 SE,21.900,W 126,Limousine (4-Türen),71.739,185,0
10414,1980,Mercedes-Benz 280 SE,16.900,W 126,Limousine (4-Türen),185.382,185,0
10415,1983,IFA W50,7.900,,Nutzfahrzeug,16.000,125,0
10416,1999,Mercedes-Benz 1524 AF,23.900,Mittelschwere Klasse,Nutzfahrzeug (Feuerwehr),80.100,241,0
10417,1994,Mercedes-Benz T2 814 D,14.900,,Nutzfahrzeug (Feuerwehr),11.590,136,0
10418,1993,Volkswagen LT 50 2,7.900,,Nutzfahrzeug (Feuerwehr),23.200,95,0
10419,1998,MAN 10,13.900,,Nutzfahrzeug (Feuerwehr),54.009,220,0
10420,1996,MAN 10,14.900,,Nutzfahrzeug (Feuerwehr),69.500,220,0
10421,1992,Mercedes-Benz T2 814 D,12.900,,Nutzfahrzeug (Feuerwehr),20.000,136,0
10422,1979,Porsche 924 Turbo,8.900,924,Coupé,66.048,170,0
10423,1963,Bentley S 3 Continental Flying Spur,189.000,,Coupé,48.991,200,0
10424,1987,Mercedes-Benz 500 SL,46.900,R 107,Cabriolet (Roadster),187.630,223,0
10425,1954,Allgaier A111,14.900,,Nutzfahrzeug (Traktor),1.001,12,0
10426,1962,Jaguar Mk II 3,38.900,,Limousine (4-Türen),82.227,210,0
10427,1948,SIMCA Simca 6,15.900,,Cabriolet (Limousine),1.001,17,0
10428,1960,Ford FK 2500,19.900,,Nutzfahrzeug (Kastenwagen),17.941,100,0
10429,1960,Ford FK 2500,19.900,,Nutzfahrzeug (Kastenwagen),18.025,100,0
10430,1964,Citroën DS 19 Chapron Palm Beach,199.900,,Cabriolet,1.001,80,0
10431,1962,Lancia Flaminia GT Touring,89.000,,Coupé,110.721,119,0
10432,1929,Bentley 4 1,790.000,,Cabriolet (Tourer),49.053,200,0
10433,1948,Veritas Meteor II RS,299.000,,Rennwagen,1.001,100,0
10434,1988,Iveco Magirus 75-16 AW,19.900,MK,Nutzfahrzeug (Feuerwehr),19.800,160,0
10435,1992,Mercedes-Benz T2 814 D,15.900,,Nutzfahrzeug (Feuerwehr),23.600,136,0
10436,1976,Rolls-Royce Silver Shadow I,36.900,,Limousine (4-Türen),65.317,200,0
10437,1972,Mercedes-Benz 300 SEL 6,59.900,W 109,Limousine (4-Türen),74.829,250,0
10438,1988,Mercedes-Benz T2 709 D,11.900,,Nutzfahrzeug (Feuerwehr),36.200,90,0
10439,1994,Mercedes-Benz 914 F,14.900,LK,Nutzfahrzeug (Feuerwehr),16.610,136,0
10440,1991,Bentley Eight,19.900,,Limousine (4-Türen),59.120,218,0
10441,2007,Mercedes-Benz S 420 CDI,29.900,W 221,Limousine (4-Türen),300.000,320,0
10442,1989,Porsche 911 Carrera 3,69.000,"""G-Modell""",Cabriolet,199.000,217,0
10443,1967,FIAT 500 Giardiniera,19.900,,Kombi,3.519,18,0
10444,1991,Ferrari Mondial T,69.900,,Cabriolet,43.106,295,0
10445,1939,BMW 328,589.000,Typ 328,Cabriolet (Roadster),77.983,80,0
10446,1988,Mercedes-Benz T2 709 D,9.900,,Nutzfahrzeug (Feuerwehr),29.570,90,0
10447,1934,BMW 328,295.000,Typ 328,Cabriolet (Roadster),99.863,80,0
10448,1993,Aston Martin Virage Volante,139.000,,Cabriolet,13.600,310,0
10449,1993,Mercedes-Benz E 320,45.101,A 124,Cabriolet,144.000,220,0
10450,1988,Mercedes-Benz 1120 F,17.900,LK,Nutzfahrzeug (Feuerwehr),35.040,210,0
10451,1965,NSU Wankel-Spider,38.900,,Cabriolet (Roadster),13.941,50,0
10452,1991,BMW 850i,30.000,E31,Coupé,133.731,300,0
10453,1981,Pontiac Bonneville,17.900,8th Generation,Limousine (4-Türen),64.592,152,0
10454,1994,Mercedes-Benz 814 F,15.351,LK,Nutzfahrzeug (Feuerwehr),32.780,136,0
10455,1999,Jaguar XK8 4,17.900,X100,Cabriolet,118.230,284,0
10456,1979,Mercedes-Benz 450 SLC,44.900,C 107,Coupé,80.643,217,0
10457,1991,Bentley Turbo R,38.164,,Limousine (4-Türen),70.249,320,0
10458,1964,Ford Taunus Transit,30.000,,Bus (Feuerwehr),8.193,55,0
10459,1983,Mercedes-Benz 500 SEL,39.900,W 126,Limousine (4-Türen),26.203,231,0
10460,1950,IFA H6,18.900,,Nutzfahrzeug (Pritsche),12.000,150,0
10461,1962,DKW 1000 SP,28.890,,Coupé,60.300,55,0
10462,1972,Lancia Fulvia Sport 1,39.900,Serie II,Coupé,81.901,90,0
10463,1970,Büssing BS 15 AK,14.900,,Nutzfahrzeug (Pritsche),46.000,156,0
10464,1971,Hanomag-Henschel F 161,15.351,,Nutzfahrzeug (Pritsche),291.200,241,0
10465,1989,Porsche 928 S4,14.875,928,Coupé,68.891,320,0
10466,1988,Porsche 928 S4,35.900,928,Coupé,75.000,320,0
10467,1955,Connaught B-Type,390.000,,Cabriolet (Roadster),1.001,240,0
10468,1949,Veritas SP90 Spohn,490.000,,Cabriolet (Roadster),50.039,90,0
10469,1990,Mercedes-Benz 1114 AF,13.900,LK,Nutzfahrzeug (Feuerwehr),32.989,136,0
10470,1938,Lagonda V12 DHC,499.000,,Cabriolet,7.778,180,0
10471,1992,Rolls-Royce Silver Spirit II,26.061,,Limousine,77.000,250,0
10472,1958,BMW 2,64.900,Typ 502,Limousine (4-Türen),4.367,100,0
10473,1955,FIAT 1100-103 Familiare Viotti,21.900,,Kombi,48.770,36,0
10474,1951,Alfa Romeo 1900 M,59.000,AR 51,Geländewagen (Militärfahrzeug),29.270,65,0
10475,1989,Schlüter Super 2000 TVL,199.000,SF8106,Nutzfahrzeug (Traktor),1.001,185,0
10476,1957,Ford Taunus 15m,24.900,G4B,Kombi,30.548,55,0
10477,1992,Chevrolet Camaro RS ,11.900,Serie III,Coupé,124.692,172,0
10478,1990,Bentley Turbo R,33.201,,Limousine (4-Türen),57.415,320,0
10479,1971,FIAT 124 Special T,15.900,,Limousine,51.790,80,0
10480,1958,Lanz D 1106 Bulli,7.900,,Nutzfahrzeug (Traktor),1.001,11,0
10481,1963,Henschel HS 20,29.000,,Nutzfahrzeug (Pritsche),167.000,150,0
10482,1948,Kurtis Kraft 500 G Special,199.000,,Rennwagen,1.001,480,0
10483,1968,Chevrolet Corvette Stingray,79.000,C3 Serie II,Cabriolet,68.079,390,0
10484,1971,Citroën DS 20 Pallas,79.000,DY,Cabriolet,103.752,90,0
10485,1955,Alfa Romeo 450,89.000,,Nutzfahrzeug (Pritsche),47.750,90,0
10486,1972,Chevrolet Corvette Stingray,49.000,C3 Serie II,Coupé (Targa),133.310,300,0
10487,1989,Jaguar XJS 5,39.900,Series II,Cabriolet,85.166,281,0
10488,1961,Alfa Romeo Giulietta Spider,69.000,,Cabriolet,1.464,80,0
10489,1961,Borgward P 100 2,69.000,,Limousine (4-Türen),53.438,100,0
10490,1982,Porsche 911 SC 3,69.900,"""G-Modell""",Coupé,132.465,180,0
10491,1974,Mercedes-Benz LAK 1924,39.900,Schwerer Kurzhauber,Nutzfahrzeug (Feuerwehr),34.075,241,0
10492,1972,Alfa Romeo Montreal,86.700,,Coupé,4.882,195,0
10493,1959,FIAT 600 D,14.900,,Limousine (2-Türen),80.827,25,0
10494,1967,Autobianchi Bianchina Panoramica,12.000,3a,Kleinwagen (Kombi),51.648,18,0
10495,1959,Citroën 2 CV,19.000,,Limousine (4-Türen),40.143,12,0
10496,1944,Mercedes-Benz L 1500 S,59.000,,Nutzfahrzeug (Militärfahrzeug),107.509,60,0
10497,1952,FIAT 500 C Topolino,19.900,,Cabriolet (Limousine),60.000,16,0
10498,1974,BMW 3,31.000,E3,Limousine (4-Türen),160.017,180,0
10499,1954,Lamborghini DL 25,29.900,,Nutzfahrzeug (Traktor),1.001,25,0
10500,1941,Renault AHS,37.000,,Nutzfahrzeug (Militärfahrzeug),12.936,52,0
10501,2000,Mercedes-Benz SLK 230 Kompressor,5.450,R 170,Cabriolet (Roadster),297.044,197,0
