,baujahr,name,preis,baureihe,karrosserieform,kilometerstand,leistung,gewicht
8048,2012,Porsche 911 Turbo S,164.044,997.2,Coupé,2.977,530,0
8049,1949,Dodge Coronet,27.000,,Limousine,79.000,103,0
8050,1956,Volkswagen Käfer 1200 Export,29.950,Typ 11,Limousine (2-Türen),89.583,30,0
8051,2006,Audi A4 2,23.950,B7 8E,Limousine (4-Türen),124.150,220,0
8052,1990,Jaguar XJ-S Convertible,32.950,Series II,Cabriolet,0,295,0
8053,1958,Volvo PV 544,13.950,A-B,Limousine (2-Türen),0,75,0
8054,1982,Volvo 240,17.950,,Limousine,33.469,111,0
8055,1994,Rover Mini Cooper 1,19.950,MK VI,Kleinwagen,56.724,63,0
8056,1983,Maserati Quattroporte 4900,39.950,Serie III,Limousine (4-Türen),234.567,282,0
8057,1967,Volvo 1800 S,39.950,M-P,Coupé,34.206,105,0
8058,1990,Volvo 240,17.950,,Limousine (4-Türen),74.430,113,0
8059,1983,Volvo 240,17.950,,Limousine,67.350,111,0
8060,1983,Jaguar XJ-S H,27.500,Series II,Coupé,43.749,295,0
8061,2011,Porsche 911 Carrera GTS,82.019,997.2,Cabriolet,23.335,408,0
8062,1961,Mercedes-Benz 300 SL Roadster,Auf Anfrage,W 198 II,Cabriolet (Roadster),1.172,215,0
8063,2019,Dodge Challenger SXT,49.900,3rd generation,Coupé,25.780,309,0
8064,1987,Maserati Biturbo Spyder Si,26.150,Tipo AM333,Cabriolet,48.800,189,0
8065,1963,Volkswagen T1 Samba,76.160,Typ 2 T1,Bus,0,42,0
8066,1989,Peugeot 205 GTi 1,17.571,20CB62,Kleinwagen (3-Türen),141.622,115,820
8067,1974,Chevrolet Corvette Stingray,34.900,C3 Serie II,Coupé (Targa),44.820,190,0
8068,1966,Ford Mustang 289,63.900,Mustang I Serie 2 | C-Code,Coupé (Fastback),154.487,203,0
