Unnamed: 0,baujahr,name,preis,baureihe,karosserieform,kilometerstand,leistung,gewicht
5031,1972,Mercedes-Benz 350 SL,30.456,R 107,Cabriolet (Roadster),129.2,200,1650
5045,2006,Subaru Impreza 2,18.000,,Limousine (4-Türen),0.0,229,1250
5046,1935,Veritas RS,320.000,,Cabriolet (Roadster),1.391,115,1000
5049,1968,MG MGC GT,34.950,,Coupé,77.72,147,1183
5065,1981,FIAT 126,5.700,,Limousine (2-Türen),44.475,24,600
5066,1970,Jaguar E-Type,85.000,Serie II,Cabriolet (Roadster),107.0,265,1290
5067,1987,Land Rover 110,27.000,,Geländewagen,199.9,84,1765
5068,1983,Alfa Romeo Giulietta 1,12.800,Typ 116,Limousine (4-Türen),69.454,108,1100
5073,1977,MG MGB,15.950,B Serie IV,Cabriolet (Roadster),34.104,63,1040
5074,1988,Mercedes-Benz 560 SL,45.950,R 107,Cabriolet (Roadster),37.934,230,1700
5075,1991,Mercedes-Benz 500 SL,18.950,R 129,Cabriolet (Roadster),160.692,326,1870
5076,1962,Jaguar Mk II 3,35.950,,Limousine (4-Türen),56.038,224,1480
5077,1967,Chrysler Newport,34.950,,Coupé,149.183,294,1840
5078,1972,BMW 3,22.950,E3,Limousine (4-Türen),71.972,200,1500
5083,1965,BMW 1800 TI,41.012,Typ 118,Limousine (4-Türen),0.0,110,1140
5084,1935,Riley MPH,562.456,,Cabriolet (Roadster),0.0,90,914
5086,1949,MG TC,111.319,,Cabriolet (Roadster),0.0,54,840
5087,1965,MG Midget,111.319,Serie II,Cabriolet,0.0,59,735
5108,1963,Mercedes-Benz 190 Dc,29.950,W 110,Limousine (4-Türen),67.0,55,1400
5111,1981,Mercedes-Benz 380 SLC,36.950,C 107,Coupé,73.81,218,1560
5117,1963,FIAT 1100 D,6.500,,Limousine,57.0,50,900
5118,1989,Volkswagen Corrado G60 1,19.900,Typ 509 / 53i,Coupé,72.0,160,1155
5119,1965,FIAT 850 Super,7.500,,Limousine (2-Türen),30.4,37,740
5121,1966,Giannini Fiat 590,19.900,,Limousine (2-Türen),0.0,35,510
5123,1980,Lancia Beta HPE 1600,8.500,,Limousine,108.0,100,970
5124,1961,Morris Minor 1000 Tourer,19.500,Series III,Cabriolet,1.6,38,740
5126,1950,FIAT 500 C Topolino,11.900,,Cabriolet (Limousine),0.0,16,610
5127,1984,Trabant 601,5.500,,Limousine (2-Türen),5.5,26,620
5128,1960,MG MGA 1600,37.500,MK I,Cabriolet (Roadster),9.685,79,900
5129,1987,Lancia Thema 8,29.500,model 834,Limousine (4-Türen),119.5,215,1400
5130,1989,Ferrari Mondial T,56.000,,Coupé,0.0,300,1426
5131,1971,Lancia Fulvia Coupe HF 1,45.000,,Coupé,75.606,115,930
5133,1977,Lancia Beta Spider 1600,26.000,Tipo 828 2a,Cabriolet (Targa),71.759,100,1050
5135,1973,FIAT 500 R,9.900,,Limousine (2-Türen),136.0,18,525
5137,1998,Rover 416 Si,3.900,R8,Cabriolet,91.0,111,1175
5138,1972,Lancia Fulvia 1,19.900,Serie II,Coupé,130.0,90,930
5142,1993,Volkswagen Polo II 1300i GT,2.900,Typ 86C,Limousine (3-Türen),138.0,76,800
5145,1970,FIAT 500 L,9.900,,Limousine (2-Türen),76.0,18,520
5146,1996,Alfa Romeo 164 2,3.900,,Limousine (4-Türen),191.0,144,1400
5148,1987,FIAT Uno 45,7.900,Tipo 146 1a,Kleinwagen,90.0,45,710
5155,1979,Excalibur Phaeton Serie III,45.000,Serie III,Cabriolet,51.7,218,2000
5156,1972,ISO Grifo,527.303,,Coupé,109.113,355,1430
5163,1961,FIAT 1500 S Osca,32.500,,Coupé,32.202,90,1030
5167,1967,FIAT 600 D,15.500,,Limousine (2-Türen),101.851,25,580
5168,1962,FIAT 600,49.500,,Limousine (2-Türen),16.423,22,580
5170,1960,FIAT 600,19.000,,Limousine (2-Türen),100.004,22,580
5173,1960,Triumph TR 3A,23.750,,Cabriolet (Roadster),0.0,100,900
5175,1969,FIAT 500 L,12.500,,Limousine (2-Türen),102.149,18,520
5179,1954,FIAT 500 C Belvedere,10.500,,Kombi,29.014,16,610
5195,1962,Triumph TR 3B,35.000,TCF,Cabriolet (Roadster),35.5,100,925
5213,1973,Dodge Charger 440,27.000,WL,Coupé,143.25,360,1820
5215,1972,FIAT Campagnola,10.500,,Geländewagen,76.796,63,1250
5216,1936,FIAT 500 A Topolino,16.500,,Limousine,35.267,13,580
5217,1978,FIAT 124 Spider CS2,22.500,,Cabriolet,12.931,81,970
5219,1985,Ferrari 208 GTS Turbo,82.500,,Cabriolet (Targa),63.882,220,1243
5221,2012,BMW 1er M ,57.500,E 82,Coupé,91.409,340,1385
5222,1970,Alfa Romeo Junior Zagato GT 1300,53.500,Typ 105.93,Coupé,15.954,87,950
5223,2010,Aston Martin Rapide,47.259,,Limousine (4-Türen),94.0,477,1950
5224,2010,Alfa Romeo 8C Spider,325.000,,Cabriolet (Roadster),1.25,450,1675
5235,1968,MG MGC GT,29.289,,Coupé,0.0,147,1183
5236,1997,MG RV8,29.289,,Cabriolet (Roadster),0.0,192,1140
5237,1986,Porsche 911 Carrera 3,95.000,"""G-Modell""",Cabriolet,78.0,231,1140
5238,1986,Jaguar XJ-S 3,23.430,Series II,Coupé,0.0,203,1760
5239,1958,Jaguar Mk IX,46.865,,Limousine,0.0,220,1800
5242,1967,Porsche 911 2,199.900,"""Urmodell""",Cabriolet (Targa),2.777,160,1080
5245,1955,Aston Martin DB 2,379.900,Mark II,Cabriolet,67.336,140,1200
